Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Marco Belinelli (13772906),Marco Belinelli,13772906,SG/SF/F/G/UTIL,3200,POR@SA 11/16/2019 08:30PM ET,SA,9.54
C,Jakob Poeltl (13772911),Jakob Poeltl,13772911,C/UTIL,3200,POR@SA 11/16/2019 08:30PM ET,SA,14.35
SG/SF,Dwayne Bacon (13772949),Dwayne Bacon,13772949,SG/SF/F/G/UTIL,3100,CHA@NY 11/16/2019 07:30PM ET,CHA,17.72
C,Bismack Biyombo (13772986),Bismack Biyombo,13772986,C/UTIL,3100,CHA@NY 11/16/2019 07:30PM ET,CHA,12
PF/C,Gorgui Dieng (13772929),Gorgui Dieng,13772929,PF/C/F/UTIL,3100,HOU@MIN 11/16/2019 08:00PM ET,MIN,15.22
PF/C,Jordan Bell (13772933),Jordan Bell,13772933,PF/C/F/UTIL,3100,HOU@MIN 11/16/2019 08:00PM ET,MIN,11.05
PF/C,Noah Vonleh (13772937),Noah Vonleh,13772937,PF/C/F/UTIL,3100,HOU@MIN 11/16/2019 08:00PM ET,MIN,10.94
PG/SG,Jaylen Nowell (13772941),Jaylen Nowell,13772941,PG/SG/G/UTIL,3100,HOU@MIN 11/16/2019 08:00PM ET,MIN,0
SF/PF,Thabo Sefolosha (13772954),Thabo Sefolosha,13772954,SF/PF/F/UTIL,3100,HOU@MIN 11/16/2019 08:00PM ET,HOU,8.98
SF/PF,Chandler Parsons (13772969),Chandler Parsons,13772969,SF/PF/F/UTIL,3100,ATL@LAC 11/16/2019 10:30PM ET,ATL,0
SG,Jerome Robinson (13772975),Jerome Robinson,13772975,SG/G/UTIL,3100,ATL@LAC 11/16/2019 10:30PM ET,LAC,4.39
SF/PF,Vince Carter (13772978),Vince Carter,13772978,SF/PF/F/UTIL,3100,ATL@LAC 11/16/2019 10:30PM ET,ATL,9.84
PG/SG,Tyrone Wallace (13772982),Tyrone Wallace,13772982,PG/SG/G/UTIL,3100,ATL@LAC 11/16/2019 10:30PM ET,ATL,8.91
C,Chris Silva (13772973),Chris Silva,13772973,C/UTIL,3100,NO@MIA 11/16/2019 08:00PM ET,MIA,9.61
PF/C,TJ Leaf (13772925),TJ Leaf,13772925,PF/C/F/UTIL,3100,MIL@IND 11/16/2019 07:00PM ET,IND,12.3
PF/C,Chimezie Metu (13772945),Chimezie Metu,13772945,PF/C/F/UTIL,3100,POR@SA 11/16/2019 08:30PM ET,SA,8.12
PF/C,Anthony Tolliver (13772958),Anthony Tolliver,13772958,PF/C/F/UTIL,3100,POR@SA 11/16/2019 08:30PM ET,POR,9.86
SG,Gary Trent Jr. (13772962),Gary Trent Jr.,13772962,SG/G/UTIL,3100,POR@SA 11/16/2019 08:30PM ET,POR,5.21
SF/PF,Nassir Little (13772965),Nassir Little,13772965,SF/PF/F/UTIL,3100,POR@SA 11/16/2019 08:30PM ET,POR,7.1
C,Boban Marjanovic (13772919),Boban Marjanovic,13772919,C/UTIL,3100,TOR@DAL 11/16/2019 08:30PM ET,DAL,14.65
PG/SG,Seth Curry (13772921),Seth Curry,13772921,PG/SG/G/UTIL,3100,TOR@DAL 11/16/2019 08:30PM ET,DAL,12.73
SG/SF,Wayne Ellington (13773019),Wayne Ellington,13773019,SG/SF/F/G/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,NY,8.75
SG/SF,Reggie Bullock (13773024),Reggie Bullock,13773024,SG/SF/F/G/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,NY,0
PG/SG,Kadeem Allen (13773029),Kadeem Allen,13773029,PG/SG/G/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,NY,0
PG/SG,Allonzo Trier (13773033),Allonzo Trier,13773033,PG/SG/G/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,NY,12.19
PF/C,Ivan Rabb (13773037),Ivan Rabb,13773037,PF/C/F/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,NY,0
SF/PF,Ignas Brazdeikis (13773041),Ignas Brazdeikis,13773041,SF/PF/F/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,NY,2.25
SF/PF,Marvin Williams (13773168),Marvin Williams,13773168,SF/PF/F/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,CHA,11.48
SF/PF,Michael Kidd-Gilchrist (13773172),Michael Kidd-Gilchrist,13773172,SF/PF/F/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,CHA,10
C,Guillermo Hernangomez (13773176),Guillermo Hernangomez,13773176,C/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,CHA,8.5
SG/SF,Caleb Martin (13773178),Caleb Martin,13773178,SG/SF/F/G/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,CHA,6.33
SF/PF,Robert Franks (13773183),Robert Franks,13773183,SF/PF/F/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,CHA,0
SG,Kobi Simmons (13773187),Kobi Simmons,13773187,SG/G/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,CHA,0
SF/PF,Jalen McDaniels (13773190),Jalen McDaniels,13773190,SF/PF/F/UTIL,3000,CHA@NY 11/16/2019 07:30PM ET,CHA,3.25
SF,Kelan Martin (13773045),Kelan Martin,13773045,SF/F/UTIL,3000,HOU@MIN 11/16/2019 08:00PM ET,MIN,4
SF/PF,Keita Bates-Diop (13773048),Keita Bates-Diop,13773048,SF/PF/F/UTIL,3000,HOU@MIN 11/16/2019 08:00PM ET,MIN,3.25
PG,Jordan McLaughlin (13773052),Jordan McLaughlin,13773052,PG/G/UTIL,3000,HOU@MIN 11/16/2019 08:00PM ET,MIN,8.06
PF/C,Naz Reid (13773055),Naz Reid,13773055,PF/C/F/UTIL,3000,HOU@MIN 11/16/2019 08:00PM ET,MIN,0
C,Nene Hilario (13773194),Nene Hilario,13773194,C/UTIL,3000,HOU@MIN 11/16/2019 08:00PM ET,HOU,0
SG/SF,Gerald Green (13773196),Gerald Green,13773196,SG/SF/F/G/UTIL,3000,HOU@MIN 11/16/2019 08:00PM ET,HOU,0
PF/C,Ryan Anderson (13773201),Ryan Anderson,13773201,PF/C/F/UTIL,3000,HOU@MIN 11/16/2019 08:00PM ET,HOU,9.38
PG/SG,Michael Frazier (13773205),Michael Frazier,13773205,PG/SG/G/UTIL,3000,HOU@MIN 11/16/2019 08:00PM ET,HOU,0
